iter	Passed	Remaining
451	301489	165419
452	301818	164567
453	302126	163707
454	302445	162855
455	302766	162006
456	303046	161138
457	303357	160289
458	304217	159730
459	307883	160634
460	311140	161307
461	313958	161736
462	316386	161951
463	319709	162610
464	322564	163016
465	325472	163434
466	328241	163769
467	331225	164197
468	335039	165019
469	339409	166093
470	344594	167541
471	349676	168911
472	354313	170040
473	354958	169241
474	356225	168738
475	359686	169264
476	362206	169333
477	364871	169459
478	367547	169578
479	370464	169796
480	373120	169882
481	375441	169805
482	379418	170463
483	381942	170453
484	384813	170587
485	387434	170598
486	389802	170488
487	392908	170689
488	395457	170637
489	398732	170885
490	402070	171146
491	409147	172972
492	413961	173813
493	414564	172875
494	414860	171810
495	415147	170746
496	415430	169683
497	415733	168630
498	416038	167582
499	416407	166563
500	416708	165519
501	416987	164468
502	417279	163427
503	417575	162390
504	417861	161352
505	418131	160311
506	418433	159285
507	418745	158265
508	419048	157246
509	419357	156231
510	419769	155257
511	420108	154258
512	420398	153244
513	420753	152257
514	421030	151243
515	421320	150238
516	421607	149234
517	421898	148234
518	422197	147240
519	422521	146257
520	422793	145259
521	423101	144275
522	423372	143282
523	423674	142303
524	423986	141328
525	424302	140358
526	424635	139396
527	424938	138427
528	425214	137451
529	425513	136485
530	425847	135533
531	426149	134573
532	426455	133617
533	426734	132655
534	427058	131709
535	427339	130753
536	427632	129802
537	427987	128873
538	428290	127931
539	428565	126982
540	428899	126053
541	429178	125111
542	429475	124176
543	429763	123241
544	430056	122309
545	430346	121379
546	430627	120449
547	430916	119524
548	431224	118606
549	431533	117690
550	431820	116771
551	432122	115858
552	432420	114947
553	432721	114038
554	433062	113142
555	433344	112233
556	433658	111334
557	433943	110429
558	434232	109529
559	434521	108630
560	434799	107731
561	435078	106834
562	435336	105934
563	435609	105040
564	435894	104151
565	436185	103266
566	436456	102378
567	436748	101497
568	437040	100619
569	437343	99744
570	437650	98873
571	437951	98003
572	438234	97130
573	438501	96256
574	438790	95389
575	439097	94527
576	439417	93671
577	439724	92813
578	440056	91963
579	440381	91113
580	440687	90261
581	441041	89420
582	441717	88646
583	444659	88322
584	447374	87945
585	450357	87612
586	453325	87267
587	456271	86908
588	459092	86518
589	462624	86252
590	465935	85933
591	468487	85467
592	470887	84966
593	475172	84795
594	478523	84445
595	483011	84283
596	486444	83925
597	490280	83626
598	493365	83188
599	496550	82758
600	499305	82248
601	502136	81743
602	504949	81227
603	507219	80617
604	509615	80022
605	511827	79392
606	515143	78926
607	517647	78328
608	520229	77735
609	522847	77141
610	525384	76529
611	527770	75888
612	530579	75302
613	530961	74369
614	531282	73429
615	531576	72487
616	531923	71555
617	532248	70622
618	532560	69688
619	533000	68774
620	533305	67844
621	533621	66917
622	533931	65991
623	534215	65064
624	534499	64139
625	534838	63223
626	535159	62307
627	535438	61387
628	535737	60472
629	535998	59555
630	536247	58638
631	536498	57724
632	536757	56813
633	537033	55905
634	537279	54997
635	537523	54090
636	537765	53185
637	538013	52283
638	538270	51384
639	538515	50485
640	538764	49589
641	539005	48695
642	539249	47802
643	539489	46912
644	539728	46023
645	539967	45136
646	540210	44252
647	540446	43369
648	540702	42489
649	540990	41614
650	541300	40743
651	541583	39871
652	541860	39000
653	542168	38134
654	542459	37268
655	543536	36456
656	547507	35833
657	550504	35138
658	550832	34270
659	551138	33402
660	551439	32535
661	551723	31669
662	552002	30805
663	552316	29944
664	552615	29085
665	552926	28227
666	553196	27369
667	553519	26515
668	553841	25663
669	554170	24813
670	554513	23965
671	554841	23118
672	555141	22271
673	555423	21425
674	555753	20583
675	556774	19767
676	560749	19050
677	563827	18295
678	566423	17518
679	569313	16744
680	571789	15953
681	574837	15171
682	577567	14375
683	582834	13633
684	588709	12891
685	591898	12079
686	595682	11272
687	599333	10453
688	603275	9631
689	606000	8782
690	608832	7929
691	611461	7068
692	613577	6197
693	616325	5328
694	619205	4454
695	621966	3574
696	624881	2689
697	626023	1793
698	626461	896
699	626941	0
