iter	MultiClass
465	0.2549847484
466	0.2548265081
467	0.254562658
468	0.2542943525
469	0.2539748837
470	0.2537840916
471	0.2535271064
472	0.2532168898
473	0.2530424244
474	0.2527992648
475	0.2526640895
476	0.252411847
477	0.2521204432
478	0.2519274663
479	0.2518316582
480	0.251581955
481	0.2514050371
482	0.2512353141
483	0.2510996154
484	0.250788992
485	0.2506243989
486	0.2504914887
487	0.2503688394
488	0.250061075
489	0.2498760754
490	0.2496770634
491	0.2494238544
492	0.2491354342
493	0.2488570959
494	0.2486221092
495	0.2483330551
496	0.2481281417
497	0.2479231866
498	0.2477933714
499	0.2475563833
500	0.247229948
501	0.247088218
502	0.246881875
503	0.2466492933
504	0.2464968521
505	0.2463691501
506	0.2461619802
507	0.2460105482
508	0.2459064512
509	0.2457329814
510	0.2454905087
511	0.2453352632
512	0.2451929303
513	0.2450069608
514	0.2447345787
515	0.2445505173
516	0.2443141105
517	0.2441642079
518	0.2439804736
519	0.2438298618
520	0.2435028569
521	0.2432308689
522	0.2431002008
523	0.2427460553
524	0.2424275197
525	0.2423021694
526	0.2420695949
527	0.2419001048
528	0.2417917044
529	0.2415357432
530	0.2413544636
531	0.2411546147
532	0.240910843
533	0.2407468628
534	0.240577869
535	0.240326576
536	0.2401284575
537	0.239909829
538	0.2396971361
539	0.2395713404
540	0.2394032904
541	0.239123879
542	0.2388670512
543	0.2386744313
544	0.2384948341
545	0.2383073892
546	0.2381763783
547	0.2379091878
548	0.2377531873
549	0.2375223678
550	0.237330442
551	0.2372008578
552	0.2370459618
553	0.2368697056
554	0.2367289723
555	0.2364672919
556	0.2362266874
557	0.2360510219
558	0.2359189011
559	0.2357420123
560	0.2355964949
561	0.2354393906
562	0.2353301137
563	0.2352021219
564	0.2349930826
565	0.2348196105
566	0.2345924282
567	0.2344342394
568	0.2342444333
569	0.2340961035
570	0.2339136458
571	0.2337428107
572	0.2334697153
573	0.2332633716
574	0.2330889634
575	0.2329084387
576	0.2327684871
577	0.2326052208
578	0.2324042755
579	0.2322581424
580	0.2321340412
581	0.2319618033
582	0.2318640242
583	0.2316209121
584	0.2314917991
585	0.2313949975
586	0.2313068792
587	0.2311653805
588	0.2310086857
589	0.2309057203
590	0.230738602
591	0.2305882745
592	0.2303700388
593	0.2301963441
594	0.2300125328
595	0.2299285849
596	0.2297629227
597	0.2296231302
598	0.2294331411
599	0.2292343804
600	0.2290745428
601	0.228933955
602	0.2287106326
603	0.228569459
604	0.2284516547
605	0.2283162022
606	0.22815043
607	0.2280181133
608	0.2279163458
609	0.2277627493
610	0.2276643638
611	0.2275563525
612	0.2273758699
613	0.2272534838
614	0.2271264226
615	0.227024302
616	0.2268298299
617	0.2265955952
618	0.2264836582
619	0.2263504441
620	0.2261984962
621	0.2260243589
622	0.2258735508
623	0.2256013332
624	0.2254930095
625	0.2253065746
626	0.2251875233
627	0.2250746085
628	0.2249429268
629	0.2247248198
630	0.2244942588
631	0.2243892799
632	0.2242219624
633	0.2240203239
634	0.2239064267
635	0.2237274369
636	0.2235961803
637	0.2232849703
638	0.2231693564
639	0.2229641264
640	0.2228637138
641	0.2227700147
642	0.2226306257
643	0.2224374117
644	0.2222437757
645	0.2220961635
646	0.221935082
647	0.2218360799
648	0.2217270453
649	0.2215500973
650	0.2214414696
651	0.2212662725
652	0.2211121547
653	0.2210296044
654	0.2209097719
655	0.2207016366
656	0.2206144202
657	0.2204307018
658	0.2203104858
659	0.2201987859
660	0.2200469613
661	0.2198675964
662	0.2197297325
663	0.2194955497
664	0.219325744
665	0.2191694959
666	0.2190982609
667	0.2190042606
668	0.2188611012
669	0.2186667983
670	0.2185166493
671	0.218326867
672	0.2182114262
673	0.2180511135
674	0.2179118807
675	0.217752711
676	0.2176396902
677	0.2174223877
678	0.2172431834
679	0.2170760268
680	0.2169779411
681	0.2167571139
682	0.2165986481
683	0.2165408722
684	0.2163627026
685	0.2162463215
686	0.2161922662
687	0.2159903231
688	0.2158664015
689	0.2157372599
690	0.2156105573
691	0.2154933072
692	0.2153970487
693	0.2151757601
694	0.2150927428
695	0.2149434343
696	0.214856563
697	0.2147296685
698	0.2146507161
699	0.2144964256
